"Kod";"Nazwa";"Okresy";"Wskaźnik cen";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2013";99,7;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2014";99,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2015";99,6;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2016";100,5;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2017";100,9;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2018";100,2;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2019";100,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2020";100,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2021";102,6;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2022";103,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2023";100,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2024";100,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2025";;"-";"n";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2005";100,2;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2006";100,1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2007";100,7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2008";101,6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2009";100,8;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2010";100,8;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2011";102,3;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2012";101,7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2013";100,1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2014";100,0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2015";99,5;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2016";99,4;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2017";101,1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2018";100,2;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2019";100,0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2020";102,2;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2021";102,1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2022";104,0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2023";103,6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2024";100,7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2025";101,5;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2005";100,5;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2006";100,7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2007";101,1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2008";101,4;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2009";102,0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2010";101,0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2011";101,7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2012";101,3;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2013";100,7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2014";99,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2015";100,7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2016";100,6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2017";100,4;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2018";100,4;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2019";101,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2020";100,3;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2021";101,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2022";106,6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2023";102,0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2024";101,5;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2025";100,6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2005";99,6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2006";100,2;"-";"";
